Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
170,-0.664,606,White,random,0.7448,0.7448,0.4867,1/2-1/2,0
171,-0.6632,422,White,random,0.6907,0.6907,0.6677,1/2-1/2,0
172,-0.6624,647,White,random,0.8018,0.8018,0.4942,1/2-1/2,0
173,-0.6616,374,White,random,0.5278,0.5278,0.3802,1/2-1/2,0
174,-0.6608,456,White,random,0.933,0.933,0.3564,1/2-1/2,0
175,-0.66,388,White,random,0.7035,0.7035,0.255,1/2-1/2,0
176,1,247,White,random,0.7596,0.7596,0.2295,1-0,0
177,-0.6584,618,White,random,0.3537,0.3537,0.0526,1/2-1/2,0
178,-0.9,567,White,random,0.9086,0.9086,0.3537,1/2-1/2,0
179,-0.6568,519,White,random,0.7779,0.7779,0.489,1/2-1/2,0
180,-0.656,618,White,random,0.888,0.888,0.1736,1/2-1/2,0
181,-0.6552,550,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
182,-0.6544,364,White,random,0.7687,0.7687,0.2063,1/2-1/2,0
183,-0.6536,360,White,random,0.9067,0.9067,0.4229,1/2-1/2,0
184,-0.6528,341,White,random,0.5883,0.5883,0.2272,1/2-1/2,0
185,-0.652,517,White,random,0.6835,0.6835,0.5348,1/2-1/2,0
186,-0.6512,510,White,random,0.7826,0.7826,0.2913,1/2-1/2,0
187,-1,110,White,random,1.1007,1.1007,0.3112,0-1,0
188,-1,58,White,random,1.0106,1.0106,0.5593,0-1,0
189,-0.6488,446,White,random,0.893,0.893,0.4927,1/2-1/2,0
190,-0.648,771,White,random,0.7501,0.7501,0.4861,1/2-1/2,0
191,-0.9,670,White,random,0.9049,0.9049,0.4349,1/2-1/2,0
192,-0.6464,407,White,random,0.5528,0.5528,0.4479,1/2-1/2,0
193,-0.6456,321,White,random,0.7026,0.7026,0.5575,1/2-1/2,0
194,-1,242,White,random,0.7984,0.7984,0.3294,0-1,0
195,-0.644,441,White,random,0.6692,0.6692,0.3849,1/2-1/2,0
196,-0.6432,370,White,random,0.765,0.765,0.6678,1/2-1/2,0
197,-0.6424,345,White,random,0.9347,0.9347,0.5429,1/2-1/2,0
198,-0.9,485,White,random,0.7549,0.7549,0.428,1/2-1/2,0
199,-0.9,652,White,random,1.0019,1.0019,0.1301,1/2-1/2,0
200,-0.64,444,White,random,0.8193,0.8193,0.6497,1/2-1/2,0
201,-0.6392,377,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
202,-0.6384,279,White,random,1.7104,1.7104,0.4819,1/2-1/2,0
203,-1,266,White,random,1.9187,1.9187,0.6923,0-1,0
204,-0.6368,494,White,random,1.3584,1.3584,0.1857,1/2-1/2,0
205,-0.636,583,White,random,1.4624,1.4624,0.1172,1/2-1/2,0
206,-0.6352,907,White,random,1.7539,1.7539,1.1108,1/2-1/2,0
207,-0.6344,151,White,random,1.822,1.822,1.1119,1/2-1/2,0
208,-0.6336,318,White,random,1.9449,1.9449,0.6585,1/2-1/2,0
209,-1,132,White,random,1.8204,1.8204,0.6264,0-1,0
210,-0.632,364,White,random,1.4306,1.4306,0.791,1/2-1/2,0
211,-0.6312,476,White,random,1.6734,1.6734,0.2334,1/2-1/2,0
212,-0.6304,469,White,random,1.4397,1.4397,0.3017,1/2-1/2,0
213,-0.9,236,White,random,1.6298,1.6298,0.2135,1/2-1/2,0
214,-0.6288,441,White,random,1.2063,1.2063,1.1055,1/2-1/2,0
215,1,27,White,random,2.0718,2.0718,1.1078,1-0,0
216,-0.9,276,White,random,1.69,1.69,0.5463,1/2-1/2,0
217,-1,124,White,random,2.017,2.017,1.327,0-1,0
218,-0.6256,734,White,random,1.9066,1.9066,1.1666,1/2-1/2,0
219,-0.6248,373,White,random,1.9617,1.9617,1.9009,1/2-1/2,0
220,-0.624,941,White,random,1.7906,1.7906,0.7064,1/2-1/2,0
221,-0.6232,727,White,random,1.6977,1.6977,1.0686,1/2-1/2,0
222,-0.6224,428,White,random,1.5447,1.5447,1.2561,1/2-1/2,0
223,-0.6216,373,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
224,-0.6208,384,White,random,1.7358,1.7358,0.7015,1/2-1/2,0
225,-0.62,611,White,random,1.5675,1.5675,0.7489,1/2-1/2,0
226,-0.6192,391,White,random,1.4249,1.4249,1.2628,1/2-1/2,0
227,-0.6184,553,White,random,1.6828,1.6828,1.1895,1/2-1/2,0
228,-0.6176,430,White,random,1.8084,1.8084,0.5394,1/2-1/2,0
229,-0.6168,609,White,random,1.3034,1.3034,0.975,1/2-1/2,0
230,-0.616,615,White,random,1.7328,1.7328,1.0076,1/2-1/2,0
231,1,227,White,random,1.8434,1.8434,0.7111,1-0,0
232,-1,278,White,random,1.6922,1.6922,1.0173,0-1,0
233,-0.6136,432,White,random,1.8926,1.8926,1.0633,1/2-1/2,0
234,-0.6128,578,White,random,1.6734,1.6734,1.0698,1/2-1/2,0
