Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
208,-0.6336,262,White,random,1.0738,1.0738,0.2708,1/2-1/2,0
209,-0.6328,382,White,random,1.3348,1.3348,0.9224,1/2-1/2,0
210,-0.9,739,White,random,0.818,0.818,0.7129,1/2-1/2,0
211,-1,328,White,random,1.4127,1.4127,0.5629,0-1,0
212,-0.6304,386,White,random,1.1925,1.1925,0.364,1/2-1/2,0
213,-0.6296,397,White,random,1.2907,1.2907,0.5804,1/2-1/2,0
214,1,423,White,random,1.4035,1.4035,0.6546,1-0,0
215,-0.628,495,White,random,0.8807,0.8807,0.6822,1/2-1/2,0
216,-0.9,357,White,random,1.0221,1.0221,0.2222,1/2-1/2,0
217,-0.6264,580,White,random,1.2976,1.2976,0.666,1/2-1/2,0
218,-0.6256,397,White,random,1.0415,1.0415,1.0415,1/2-1/2,0
219,-1,352,White,random,-1.0,-1.0,-1.0,0-1,0
220,-1,148,White,random,1.2483,1.2483,0.428,0-1,0
221,-0.6232,385,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
222,-0.6224,619,White,random,1.1876,1.1876,1.0409,1/2-1/2,0
223,-0.6216,196,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
224,-0.6208,629,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
225,-1,342,White,random,0.9947,0.9947,0.5934,0-1,0
226,-0.6192,590,White,random,1.093,1.093,0.4474,1/2-1/2,0
227,-0.6184,451,White,random,1.0291,1.0291,0.8696,1/2-1/2,0
228,1,293,White,random,-1.0,-1.0,-1.0,1-0,0
229,-0.6168,400,White,random,0.832,0.832,0.1735,1/2-1/2,0
230,-0.616,682,White,random,0.7599,0.7599,0.4191,1/2-1/2,0
231,-0.9,650,White,random,1.2984,1.2984,0.5077,1/2-1/2,0
232,-1,334,White,random,0.8017,0.8017,0.6659,0-1,0
233,-0.6136,513,White,random,0.4863,0.4863,0.2037,1/2-1/2,0
234,-1,222,White,random,1.1765,1.1765,0.205,0-1,0
235,-1,102,White,random,0.9561,0.9561,0.4092,0-1,0
236,-0.6112,574,White,random,1.2642,1.2642,0.4677,1/2-1/2,0
237,-0.6104,482,White,random,1.0949,1.0949,0.4978,1/2-1/2,0
238,-0.6096,472,White,random,1.2434,1.2434,0.706,1/2-1/2,0
239,-0.6088,328,White,random,1.0548,1.0548,0.4376,1/2-1/2,0
240,-0.608,505,White,random,1.3001,1.3001,0.4062,1/2-1/2,0
241,-0.6072,404,White,random,1.0764,1.0764,0.9361,1/2-1/2,0
242,-0.6064,392,White,random,1.4218,1.4218,0.9938,1/2-1/2,0
243,-0.6056,582,White,random,0.8347,0.8347,0.7575,1/2-1/2,0
244,-0.6048,503,White,random,1.1437,1.1437,0.5331,1/2-1/2,0
245,-0.604,322,White,random,0.9531,0.9531,0.3468,1/2-1/2,0
246,-1,106,White,random,1.329,1.329,0.5744,0-1,0
247,-1,296,White,random,-1.0,-1.0,-1.0,0-1,0
248,-1,330,White,random,1.2569,1.2569,0.7142,0-1,0
249,-0.6008,394,White,random,0.9582,0.9582,0.9582,1/2-1/2,0
250,-0.6,453,White,random,1.0943,1.0943,0.8726,1/2-1/2,0
251,-0.5992,748,White,random,1.1309,1.1309,0.5101,1/2-1/2,0
252,-0.5984,369,White,random,0.7385,0.7385,0.7385,1/2-1/2,0
253,1,27,White,random,1.2411,1.2411,0.6193,1-0,0
254,-0.5968,505,White,random,1.2339,1.2339,0.6173,1/2-1/2,0
255,-0.596,380,White,random,1.0073,1.0073,0.8528,1/2-1/2,0
256,-0.5952,602,White,random,1.0538,1.0538,0.4651,1/2-1/2,0
257,-0.5944,497,White,random,1.2492,1.2492,0.6298,1/2-1/2,0
258,-0.5936,464,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
259,-0.5928,596,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
260,-0.592,449,White,random,1.3173,1.3173,0.5806,1/2-1/2,0
261,-0.5912,655,White,random,1.2738,1.2738,0.7988,1/2-1/2,0
262,-1,286,White,random,0.8129,0.8129,0.8129,0-1,0
263,-0.5896,440,White,random,1.2291,1.2291,0.733,1/2-1/2,0
264,-0.5888,451,White,random,1.0221,1.0221,1.0221,1/2-1/2,0
265,-0.588,436,White,random,1.1334,1.1334,0.8451,1/2-1/2,0
266,-0.5872,520,White,random,1.0966,1.0966,0.8107,1/2-1/2,0
267,-0.5864,451,White,random,0.8707,0.8707,0.6797,1/2-1/2,0
268,-0.5856,387,White,random,1.1108,1.1108,0.8803,1/2-1/2,0
269,-0.5848,362,White,random,1.0991,1.0991,0.7323,1/2-1/2,0
270,-0.584,486,White,random,1.2516,1.2516,0.6472,1/2-1/2,0
271,-0.5832,796,White,random,1.1223,1.1223,0.7959,1/2-1/2,0
272,-0.5824,481,White,random,1.1792,1.1792,0.7224,1/2-1/2,0
273,-0.5816,616,White,random,1.1072,1.1072,0.5949,1/2-1/2,0
274,-0.5808,551,White,random,1.2207,1.2207,0.8521,1/2-1/2,0
275,-0.58,338,White,random,1.111,1.111,0.9765,1/2-1/2,0
276,-0.5792,461,White,random,1.113,1.113,0.5412,1/2-1/2,0
277,1,71,White,random,1.0232,1.0232,0.6382,1-0,0
278,-0.5776,759,White,random,0.967,0.967,0.967,1/2-1/2,0
279,-0.5768,609,White,random,1.2419,1.2419,0.667,1/2-1/2,0
280,-0.576,544,White,random,0.9911,0.9911,0.5378,1/2-1/2,0
281,-0.5752,682,White,random,1.0033,1.0033,0.8825,1/2-1/2,0
282,-0.5744,478,White,random,0.9681,0.9681,0.6947,1/2-1/2,0
283,-0.5736,528,White,random,1.092,1.092,0.8226,1/2-1/2,0
284,-0.5728,218,White,random,0.9144,0.9144,0.8338,1/2-1/2,0
285,-1,240,White,random,1.1753,1.1753,0.7698,0-1,0
286,-0.5712,474,White,random,1.0156,1.0156,0.7157,1/2-1/2,0
287,-1,92,White,random,1.0301,1.0301,0.4362,0-1,0
288,-0.5696,371,White,random,0.9469,0.9469,0.7424,1/2-1/2,0
289,-0.5688,609,White,random,1.2086,1.2086,0.7432,1/2-1/2,0
290,1,129,White,random,1.1303,1.1303,0.594,1-0,0
291,-0.5672,650,White,random,1.0725,1.0725,0.8159,1/2-1/2,0
292,-0.5664,466,White,random,1.0054,1.0054,0.356,1/2-1/2,0
293,-0.5656,478,White,random,1.0644,1.0644,0.7304,1/2-1/2,0
294,-0.5648,544,White,random,1.3202,1.3202,1.176,1/2-1/2,0
295,-0.564,421,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
296,-0.5632,549,White,random,0.8935,0.8935,0.7787,1/2-1/2,0
297,-0.5624,542,White,random,1.1815,1.1815,0.6567,1/2-1/2,0
298,-0.5616,490,White,random,1.2533,1.2533,0.7428,1/2-1/2,0
299,-0.9,401,White,random,1.1128,1.1128,0.5926,1/2-1/2,0
300,-0.9,202,White,past,1.0769,1.0769,0.5448,1/2-1/2,0
301,-0.5592,576,White,past,2.2856,2.2856,1.7397,1/2-1/2,0
302,-0.9,21,White,past,3.1167,3.1167,1.9491,1/2-1/2,0
303,-0.9,611,White,random,2.4909,2.4909,1.3732,1/2-1/2,0
304,-0.9,122,White,self,2.9032,2.9032,1.9672,1/2-1/2,0
305,-0.9,228,White,past,1.9321,1.9321,1.0537,1/2-1/2,0
306,-0.5552,553,White,random,2.2139,2.2139,1.2446,1/2-1/2,0
307,-0.5544,481,White,random,1.9946,1.9946,1.4375,1/2-1/2,0
308,-0.9,70,White,self,-1.0,-1.0,-1.0,1/2-1/2,0
309,-0.9,39,White,self,3.0899,3.0899,2.1883,1/2-1/2,0
310,-0.9,196,White,self,2.2044,2.2044,0.9225,1/2-1/2,0
311,-0.9,344,White,past,2.1998,2.1998,1.2823,1/2-1/2,0
312,-0.9,44,White,self,3.2616,3.2616,2.4341,1/2-1/2,0
313,-0.5496,438,White,random,1.6266,1.6266,1.6153,1/2-1/2,0
314,-0.9,572,White,random,2.0769,2.0769,1.6536,1/2-1/2,0
315,-0.548,540,White,random,1.8657,1.8657,1.5898,1/2-1/2,0
316,-0.9,29,White,self,2.9757,2.9757,2.2408,1/2-1/2,0
317,-0.9,61,White,self,3.1817,3.1817,2.0545,1/2-1/2,0
318,-0.9,38,White,self,2.9508,2.9508,2.2788,1/2-1/2,0
319,-0.5448,449,White,random,1.7132,1.7132,1.0296,1/2-1/2,0
320,-0.9,79,White,self,2.9966,2.9966,2.4072,1/2-1/2,0
321,-0.9,465,White,past,2.1978,2.1978,1.5697,1/2-1/2,0
322,-0.9,29,White,self,3.0091,3.0091,2.1385,1/2-1/2,0
323,-0.9,160,White,past,2.5494,2.5494,1.8102,1/2-1/2,0
324,-0.5408,513,White,random,1.8088,1.8088,1.4638,1/2-1/2,0
325,-0.9,286,White,past,-1.0,-1.0,-1.0,1/2-1/2,0
326,-0.9,102,White,past,2.369,2.369,1.7028,1/2-1/2,0
327,-0.9,166,White,self,1.8226,1.8226,0.8443,1/2-1/2,0
328,-1,162,White,random,2.3279,2.3279,1.3279,0-1,0
329,-0.9,31,White,self,3.1653,3.1653,2.4289,1/2-1/2,0
330,-0.9,31,White,self,3.1499,3.1499,2.3557,1/2-1/2,0
331,-0.9,29,White,self,3.2047,3.2047,2.452,1/2-1/2,0
332,-0.5344,265,White,random,1.1234,1.1234,0.1985,1/2-1/2,0
333,-1,86,White,past,2.0122,2.0122,1.0068,0-1,0
334,-0.9,33,White,self,3.0468,3.0468,2.0287,1/2-1/2,0
335,-0.9,81,White,self,2.2463,2.2463,1.6343,1/2-1/2,0
336,-1,254,White,past,1.6976,1.6976,-0.0632,0-1,0
337,-0.9,29,White,self,3.191,3.191,2.3322,1/2-1/2,0
338,-0.9,30,White,self,3.2949,3.2949,2.7463,1/2-1/2,0
339,-0.9,259,White,random,2.1535,2.1535,1.0753,1/2-1/2,0
340,-0.9,29,White,past,3.1994,3.1994,2.6596,1/2-1/2,0
341,-0.9,36,White,self,3.0798,3.0798,2.8322,1/2-1/2,0
342,-0.9,43,White,self,3.2322,3.2322,2.1773,1/2-1/2,0
343,-1,202,White,random,1.7055,1.7055,0.6483,0-1,0
344,-0.9,29,White,self,3.0644,3.0644,2.2465,1/2-1/2,0
345,-0.9,129,White,self,2.2416,2.2416,1.2665,1/2-1/2,0
346,-0.9,83,White,past,2.6375,2.6375,2.0472,1/2-1/2,0
347,-0.9,29,White,self,3.0688,3.0688,2.4345,1/2-1/2,0
348,-0.9,20,White,self,3.1086,3.1086,2.4158,1/2-1/2,0
349,-0.5208,541,White,random,2.2071,2.2071,1.0294,1/2-1/2,0
350,-0.9,134,White,self,2.0852,2.0852,1.1893,1/2-1/2,0
351,-0.9,384,White,past,2.1261,2.1261,1.4905,1/2-1/2,0
352,-0.9,81,White,self,2.5833,2.5833,1.7517,1/2-1/2,0
353,-0.9,194,White,past,2.2579,2.2579,1.6208,1/2-1/2,0
354,-0.9,199,White,self,2.4088,2.4088,1.034,1/2-1/2,0
355,-0.516,519,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
356,-0.9,33,White,self,3.454,3.454,2.1806,1/2-1/2,0
357,-0.9,33,White,self,3.3128,3.3128,2.2816,1/2-1/2,0
358,-0.9,25,White,self,3.2451,3.2451,2.707,1/2-1/2,0
359,-0.9,125,White,self,2.6096,2.6096,1.6167,1/2-1/2,0
360,-0.512,643,White,random,2.3922,2.3922,1.2414,1/2-1/2,0
361,-0.9,29,White,self,3.457,3.457,2.7507,1/2-1/2,0
362,-0.9,331,White,past,2.1456,2.1456,0.6211,1/2-1/2,0
363,-0.9,150,White,self,2.2051,2.2051,1.4399,1/2-1/2,0
364,-0.9,482,White,random,1.8908,1.8908,0.9174,1/2-1/2,0
365,-0.9,40,White,self,3.2967,3.2967,2.4476,1/2-1/2,0
366,-0.9,633,White,random,2.2572,2.2572,1.3576,1/2-1/2,0
